epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3914,0.9071,3.36301,1.19004,0.00434,0.62063,0.10692,0.0892,0.50209,3.63833,0.92948,1.25e-05,1.25e-05,1.25e-05
2,22.8196,0.87358,3.41711,1.16912,0.00423,0.64336,0.14485,0.12333,0.48908,3.62363,0.92294,3.71287e-05,3.71287e-05,3.71287e-05
3,34.11,0.81032,3.32908,1.10921,0.00433,0.66259,0.20138,0.17386,0.4658,3.58149,0.89472,6.12625e-05,6.12625e-05,6.12625e-05
4,45.3449,0.81188,3.27982,1.11125,0.00603,0.77727,0.27396,0.23075,0.45099,3.52093,0.87405,8.49012e-05,8.49012e-05,8.49012e-05
5,56.7922,0.71779,3.14756,1.05712,0.00855,0.9,0.32769,0.27785,0.42029,3.48938,0.86276,0.000108045,0.000108045,0.000108045
6,68.2637,0.73318,3.0133,1.03135,0.00952,0.95,0.36456,0.29426,0.44278,3.45898,0.85357,0.000130694,0.000130694,0.000130694
7,79.8156,0.71936,2.93317,1.00139,0.00957,0.95,0.39767,0.3364,0.49923,3.44981,0.85479,0.000152847,0.000152847,0.000152847
8,91.6422,0.73373,2.83037,1.07924,0.01025,0.95,0.4405,0.38056,0.48043,3.42987,0.84646,0.000174506,0.000174506,0.000174506
9,103.018,0.76733,2.66099,1.10201,0.01099,0.975,0.50256,0.41928,0.47327,3.41718,0.84204,0.00019567,0.00019567,0.00019567
10,114.296,0.73245,2.56945,1.04237,0.01167,0.975,0.59158,0.5076,0.45752,3.40128,0.83729,0.000216339,0.000216339,0.000216339
11,125.663,0.79103,2.48278,1.07387,0.0122,0.975,0.63956,0.56029,0.43572,3.38412,0.83391,0.000236513,0.000236513,0.000236513
12,136.945,0.79058,2.40427,1.08089,0.01216,0.975,0.68498,0.60096,0.42053,3.37199,0.83377,0.000256191,0.000256191,0.000256191
13,148.313,0.70524,2.38902,1.00863,0.01307,0.975,0.70228,0.61945,0.42589,3.36433,0.83939,0.000275375,0.000275375,0.000275375
14,159.638,0.77116,2.27381,1.06532,0.01257,0.975,0.72152,0.63555,0.43388,3.34226,0.84072,0.000294064,0.000294064,0.000294064
15,170.83,0.75181,2.07597,1.05318,0.01229,1,0.75854,0.66174,0.44541,3.31966,0.8406,0.000312257,0.000312257,0.000312257
16,181.962,0.75196,2.22008,1.04687,0.01182,1,0.76638,0.65246,0.49591,3.29151,0.848,0.000329956,0.000329956,0.000329956
17,193.71,0.76131,1.87092,1.06073,0.01208,1,0.75191,0.62715,0.53817,3.25889,0.84813,0.00034716,0.00034716,0.00034716
18,204.949,0.70762,1.84978,1.02359,0.01216,1,0.76311,0.63376,0.54639,3.24395,0.85259,0.000363869,0.000363869,0.000363869
19,216.191,0.82497,1.65875,1.09014,0.01101,0.975,0.76377,0.64536,0.55539,3.22138,0.86615,0.000380083,0.000380083,0.000380083
20,227.802,0.82822,1.61066,1.10077,0.01011,0.95227,0.76916,0.652,0.56192,3.20415,0.88717,0.000395801,0.000395801,0.000395801
21,239.439,0.7804,1.6447,1.05068,0.00931,0.95227,0.7626,0.6545,0.56904,3.19923,0.8961,0.000411025,0.000411025,0.000411025
22,250.912,0.7468,1.57693,1.10529,0.0094,0.97727,0.77036,0.6512,0.57984,3.20213,0.90669,0.000425754,0.000425754,0.000425754
23,262.364,0.78463,1.54007,1.09256,0.01032,0.97727,0.77361,0.65862,0.62129,3.19114,0.92512,0.000439988,0.000439988,0.000439988
24,273.615,0.80321,1.44257,1.11194,0.01156,0.97727,0.76823,0.63923,0.65356,3.18733,0.94381,0.000453726,0.000453726,0.000453726
